lat,long,site,habitat,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38.314312,-123.062607,NEC,Prairie ,0.3,2.8,0,0.1,1,1.06666666666667,0.133333333333333,0.266666666666667,0.0666666666666667,0.0666666666666667,0.266666666666667,0.333333333333333,11.4,0.45,0.333333333333333
38.315265,-123.065959,DRW,Prairie ,20,2.1,0,0.1,0.0666666666666667,7.33333333333333,0,0.2,0.666666666666667,0,0,0,2.4,0.3,0
38.318413,-123.069328,TOH,Prairie ,1.5,0.7,0,0,0.333333333333333,0.733333333333333,0,0.2,0,0,0,0,4.86666666666667,0.25,0
38.321298,-123.074532,ART,Prairie ,3.1,2.1,0.1,0,0,0.4,6.06666666666667,0,0,0,0.266666666666667,1.2,10.4666666666667,0.45,0
38.321502,-123.0729,JND,Prairie ,0.3,0.5,0.1,0,0,0.0666666666666667,0,0.133333333333333,0,0,0,0,0.4,0,0
38.321229,-123.075866,MSP,Prairie ,1.5,1.4,0.1,0,0.333333333333333,2.93333333333333,0.666666666666667,0.0666666666666667,0,0,0.2,4.4,49.1333333333333,0.05,0.133333333333333
38.321199,-123.060747,RAB,Prairie ,0,0,0.1,0,0,0.533333333333333,0,0,0,0,0,0.666666666666667,0.625,1.5,0
38.31378,-123.0621,SCU,Marsh,5.1,1.5,0,0.1,1.6,1.6,0,0.2,0.533333333333333,0,0.2,0.133333333333333,10.1333333333333,0.05,0
38.318032,-123.069822,AFL,Marsh,5.1,4,0.9,0.3,1.71428571428571,4.26666666666667,0.2,0.533333333333333,0.2,0.933333333333333,1.2,2.93333333333333,18.5714285714286,0.4,0.0666666666666667
38.318709,-123.070602,HEM,Marsh,3,3,0.2,1.6,1.4,4.2,0.0666666666666667,0.6,0.933333333333333,0.733333333333333,0.466666666666667,0.666666666666667,32.8666666666667,0.65,0.2
38.319019,-123.056588,DRM,Marsh,0.1,1.7,1.2,1.5,4.14285714285714,4.6,0.0666666666666667,0.533333333333333,0,0.0666666666666667,0.266666666666667,0.6,3.13333333333333,3.5,0.266666666666667
38.319924,-123.056739,BAY,Marsh,0.7,1.9,0.6,1.3,1.5,2.93333333333333,0.133333333333333,0.4,0,0,0,0,0.625,0.65,0
38.318707,-123.058265,FIR,Marsh,5,9,5,1,,,,,0,0.0666666666666667,,,5.4,2.35,0.333333333333333
